ajitgarh,sri madhopur
ajmer rural,ajmer
ara thuna,artuna
bagoda,bagora
balotra,pachpadra
bawari,baori
bhainsrorgarh,rawatbhata
bhairunda,Degana,RIYAN BADI
bhavani mandi,pachpahar
bijauliya,bijoliya
chouth ka barwada,chauth ka barwara
dalot,arnod
dhava,pratapgarh
dhamotar,pratapgarh
dholpur,dhaulpur
dovada,dowda
dungargarh,Sridungargarh
fagliya,SEDWA
hrushabhdev,Rishabhdeo
hurda mandal,Hurda
itawa,Pipalda
jalasu,Amber
jawaja,Beawar  
jaysamand,Beawar 
jaysamand,Sarada 
jhotwara,Kalwar
kalyanpur,Pachpadra 
keru,Jodhpur
khandela,KHENDELA 
kherabad,Ramganj Mandi 
khinwasar,Kheenvsar 
kotda,Kotra 
kuchaman,KUCHAMAN CITY 
laxmangarh,Lachhmangarh 
mandore,Jodhpur 
marwar jun,Marwar Junction 
mawali,Mavli 
mohangarh,Jaisalmer 
mundawar,Mandawar 
nachna,Pokaran 
navan,Nawa 
palsana,Danta Ramgarh 
panchu,Nokha 
pataudi,Pachpadra 
pawata,Pavta 
# payala kalan,Mandawar ## complicated case - Sindhari + siwana +gudha  malani
phalasiya,Jhadol 
# pidawa,Pirawa 
pidawa,Sunel 
# pilani,Mandawar Chirawa, Gudhagorji, SURAJGARH, Buhana
piprali,Sikar 
saipau,Sepau 
sam,sum 
sambharlake,Phulera (Hq.Sambhar) 
sankda,Pokaran 
sarnau,Sanchore 
shiv,Sheo 
sikandra,Sikrai 
singhana,Buhana 
srinagar,Nasirabad
suhagpura,Peepalkhoont
sultanpur,Digod
talwada,Banswara
umrain,Alwar
vair,Weir
bargaon,Badgaon
mundawa,MUNDWA
sahapura,Shahpura
